2022-11-28 12:56:11, Camera 1, Tomato, 1758, 1033, 105.48511836665517
2022-11-28 12:56:13, Camera 1, Tomato, 1497, 757, 79.99202019855866
2022-11-28 12:56:14, Camera 1, Tomato, 1506, 824, 125.36246188706906
2022-11-28 12:56:19, Camera 1, Tomato, 82, 761, 100.78429786756261
2022-11-28 12:56:24, Camera 1, Tomato, 1824, 758, 75.25643716352927
2022-11-28 12:56:24, Camera 1, Tomato, 1854, 816, 97.14382034544134
2022-11-28 12:56:26, Camera 1, Tomato, 1434, 772, 85.0302592718897
2022-11-28 12:56:27, Camera 1, Tomato, 1451, 788, 106.50436138175503
2022-11-28 12:56:31, Camera 1, Tomato, 1504, 773, 81.46923439005187
2022-11-28 12:56:32, Camera 1, Tomato, 1794, 771, 78.69006752597979
2022-11-28 12:56:32, Camera 1, Tomato, 1439, 761, 82.23483398157467
2022-11-28 12:56:32, Camera 1, Tomato, 1541, 780, 90.0
2022-11-28 12:56:33, Camera 1, Tomato, 1494, 766, 87.27368900609373
2022-11-28 12:56:37, Camera 1, Tomato, 1608, 804, 58.790866897360985
2022-11-28 12:56:40, Camera 1, Tomato, 1686, 776, 72.34987578006988
2022-11-28 12:56:41, Camera 1, Tomato, 1853, 775, 76.6075022462489
2022-11-28 12:56:47, Camera 1, Tomato, 1542, 763, 82.23483398157467
2022-11-28 12:56:48, Camera 1, Tomato, 1784, 764, 87.70938995736148
2022-11-28 12:56:48, Camera 1, Tomato, 1521, 769, 69.77514056883192
2022-11-28 12:56:49, Camera 1, Tomato, 1668, 763, 79.2157021324374
2022-11-28 12:56:49, Camera 1, Tomato, 1812, 773, 63.43494882292201
2022-11-28 12:56:49, Camera 1, Tomato, 1560, 775, 81.46923439005187
2022-11-28 12:56:52, Camera 1, Tomato, 1746, 823, 61.1134182330893
2022-11-28 12:56:56, Camera 1, Tomato, 1454, 775, 80.13419305691563
2022-11-28 12:57:00, Camera 1, Tomato, 1526, 775, 84.55966796899449
2022-11-28 12:57:01, Camera 1, Tomato, 764, 797, 172.34229030628615
2022-11-28 12:57:02, Camera 1, Tomato, 1472, 775, 84.8055710922652
2022-11-28 12:57:02, Camera 1, Tomato, 1496, 985, 108.04968041582583
2022-11-28 12:57:05, Camera 1, Tomato, 1885, 822, 91.39152665254784
2022-11-28 12:57:05, Camera 1, Tomato, 1579, 758, 83.99099404250548
2022-11-28 12:57:05, Camera 1, Tomato, 1687, 772, 79.2157021324374
2022-11-28 12:57:06, Camera 1, Tomato, 1471, 762, 78.23171106797936
2022-11-28 12:57:07, Camera 1, Tomato, 1610, 513, -102.30467884716303
2022-11-28 12:57:07, Camera 1, Tomato, 1584, 548, -110.86514157096919
2022-11-28 12:57:08, Camera 1, Tomato, 1440, 758, 87.39743779750019
2022-11-28 12:57:11, Camera 1, Tomato, 1437, 767, 87.51044707800085
2022-11-28 12:57:12, Camera 1, Tomato, 1631, 772, 78.69006752597979
2022-11-28 12:57:14, Camera 1, Tomato, 1663, 841, 101.07859141821808
2022-11-28 12:57:15, Camera 1, Tomato, 1442, 764, 86.98721249581666
2022-11-28 12:57:15, Camera 1, Tomato, 1720, 774, 82.23483398157467
2022-11-28 12:57:17, Camera 1, Tomato, 1470, 771, 82.5685920288275
2022-11-28 12:57:19, Camera 1, Tomato, 1670, 760, 78.69006752597979
